Crop_Year,State,Crop,TotalCost,ProdCost,CultCost,OperCost,FixedCost,Area_Total,Production_Total,Yield_Mean
2004,Andhra Pradesh,Arhar/Tur,12771.369999999999,12771.37,1444.8390000000002,6786.289999999999,5985.079999999999,480277.0,219006.0,0.48138888888888887
2004,Gujarat,Arhar/Tur,13759.07,14325.35,1532.0030000000002,10110.869999999999,3648.2,254400.0,236000.0,0.9550000000000001
2004,Karnataka,Arhar/Tur,11175.220000000001,11728.55,1851.5970000000002,8005.610000000001,3169.6099999999997,562127.0,291113.0,0.53875
2004,Madhya Pradesh,Arhar/Tur,10433.68,10433.68,1323.5420000000001,5792.459999999999,4641.22,314422.0,243677.0,0.6922916666666666
2004,Maharashtra,Arhar/Tur,14585.381000000001,14744.29,1394.5910000000001,9358.281,5227.099999999999,1074000.0,658200.0,0.5771875
2004,Gujarat,Bajra,12305.52,12305.52,614.3280000000001,9735.2,2570.32,915100.0,1089000.0,1.5374418604651163
2004,Haryana,Bajra,9325.7,9325.7,742.52,6097.66,3228.04,564924.0,746000.0,1.9764705882352942
2004,Maharashtra,Bajra,10859.95,10859.95,695.96,8386.59,2473.36,1528900.0,1126300.0,0.6222727272727272
2004,Rajasthan,Bajra,7166.1,7166.1,526.72,4710.49,2455.61,4486366.0,3011054.0,0.8383870967741937
2004,Uttar Pradesh,Bajra,11004.42,11004.42,503.36,6490.91,4513.51,878399.0,1335462.0,1.3866666666666667
2004,Andhra Pradesh,Cotton(lint),32735.15,32803.25,1994.8500000000001,20803.13,11932.02,1178419.0,2190549.0,1.9014285714285715
2004,Gujarat,Cotton(lint),23586.3,23586.3,1651.36,17329.18,6257.12,1906300.0,5443500.0,3.209090909090909
2004,Haryana,Cotton(lint),27288.54,27288.54,1626.75,17341.61,9946.93,620682.0,2075000.0,2.952727272727273
2004,Karnataka,Cotton(lint),11631.02,13152.81,1888.93,8003.78,3627.24,521860.0,624566.0,1.3571428571428572
2004,Madhya Pradesh,Cotton(lint),20714.67,20714.67,2800.13,15559.1,5155.57,584346.0,644360.0,0.9891304347826086
2004,Maharashtra,Cotton(lint),21179.58,21502.92,2360.24,15782.67,5396.91,2839500.0,2938500.0,1.0888888888888888
2004,Punjab,Cotton(lint),34070.9,34070.9,1760.81,22017.46,12053.44,509000.0,2087000.0,3.638888888888889
2004,Rajasthan,Cotton(lint),17686.72,18418.62,1529.53,11093.39,6593.33,437776.0,764622.0,1.723103448275862
2004,Tamil Nadu,Cotton(lint),27559.95,27559.95,2501.71,19928.76,7631.19,129364.0,185960.0,1.5711538461538461
2004,Andhra Pradesh,Groundnut,17318.32,17318.32,1719.575,10788.589999999998,6529.73,1841133.0,1639241.0,1.3670454545454545
2004,Gujarat,Groundnut,17246.98,17246.98,1686.86,12956.21,4290.77,1985000.0,1812000.0,1.2575555555555555
2004,Karnataka,Groundnut,12268.86,13531.68,2302.54,9372.56,2896.3,968577.0,684086.0,0.8741176470588234
2004,Maharashtra,Groundnut,23993.43,24050.09,2383.74,18513.39,5480.04,416000.0,459000.0,1.0381355932203389
2004,Tamil Nadu,Groundnut,25273.64,25283.2,1514.88,18902.79,6370.85,615877.0,1005342.0,1.7907142857142857
2004,Andhra Pradesh,Jowar,11636.66,11636.66,784.729,8042.44,3594.2200000000003,500393.0,515557.0,1.1265909090909092
2004,Karnataka,Jowar,6078.49,6759.76,836.8,4167.12,1911.37,1662793.0,1358582.0,0.9224074074074075
2004,Madhya Pradesh,Jowar,7848.16,8045.87,760.91,5579.94,2268.22,633060.0,608371.0,1.088064516129032
2004,Maharashtra,Jowar,10306.06,10306.06,674.98,7263.31,3042.75,4756100.0,3623300.0,0.9019230769230769
2004,Rajasthan,Jowar,7287.81,7364.36,582.61,4708.23,2579.58,568620.0,263900.0,0.6284375
2004,Tamil Nadu,Jowar,11157.44,11200.04,811.97,6929.06,4228.38,376739.0,252063.0,0.8250000000000001
2004,Andhra Pradesh,Maize,19077.260000000002,19077.26,640.0790000000001,12378.67,6698.590000000001,656832.0,2063542.0,3.999534883720931
2004,Bihar,Maize,15321.52,15321.52,394.93,9503.5,5818.02,617254.0,1529273.0,2.574909090909091
2004,Chhattisgarh,Maize,7750.67,7939.61,715.65,5445.63,2305.04,97851.0,139927.0,1.3431250000000001
2004,Himachal Pradesh,Maize,11095.92,11095.92,561.99,7020.96,4074.96,297887.0,636294.0,2.1625
2004,Jharkhand,Maize,11426.41,11503.88,726.44,7816.21,3610.2,92036.15,133582.0,1.3677272727272727
2004,Karnataka,Maize,12169.46,13164.14,540.4,8377.98,3791.48,850369.0,2509349.0,2.9557746478873237
2004,Madhya Pradesh,Maize,8741.79,9087.45,831.29,6517.11,2224.68,873546.0,1222964.0,1.3412499999999998
2004,Rajasthan,Maize,12191.31,12191.31,786.54,9276.0,2915.31,1042511.0,1265243.0,1.1075
2004,Uttar Pradesh,Maize,13015.65,13015.65,758.12,8957.42,4058.23,845907.0,1314145.0,2.3498979591836733
2004,Uttarakhand,Maize,11452.43,12262.03,1045.0,7744.73,3707.7,29575.0,45114.0,1.5833333333333333
2004,Andhra Pradesh,Moong(Green Gram),7541.83,7562.5,2037.794,4701.25,2840.58,454145.0,159451.0,0.36804878048780487
2004,Maharashtra,Moong(Green Gram),9149.15,9248.4,3042.27,7161.82,1987.33,656000.0,227800.0,0.5090909090909091
2004,Odisha,Moong(Green Gram),6533.24,6625.18,2222.2,4423.55,2109.69,212631.0,56145.0,0.22217391304347825
2004,Rajasthan,Moong(Green Gram),5566.92,5566.92,1840.06,3671.5,1895.42,757699.0,206146.0,0.27437500000000004
2004,Odisha,Niger seed,5620.15,5620.15,2056.7140000000004,3797.21,1822.94,123617.0,33969.0,0.31
2004,Andhra Pradesh,Rice,29056.11,29117.75,555.25,17531.37,11524.74,3086202.0,9601045.0,2.775227272727273
2004,Assam,Rice,14364.28,14364.28,668.42,10068.17,4296.11,2383731.0,3470750.0,1.372608695652174
2004,Bihar,Rice,14640.07,14640.07,606.71,9865.45,4774.62,3140116.0,2472156.0,0.9204347826086957
2004,Chhattisgarh,Rice,14350.98,14640.38,581.63,8569.75,5781.23,3843825.0,4586818.0,1.160625
2004,Haryana,Rice,32038.25,32038.25,775.16,19836.76,12201.49,1024236.0,3010000.0,2.832777777777778
2004,Jharkhand,Rice,13535.32,13369.53,715.23,9847.32,3688.0,1134251.31,1006373.0,0.7948648648648649
2004,Karnataka,Rice,30555.7,30555.7,626.41,23031.13,7524.57,1308179.0,3707122.0,3.2857575757575757
2004,Kerala,Rice,26644.52,26644.52,777.84,21062.31,5582.21,289974.0,667105.0,2.23325
2004,Madhya Pradesh,Rice,11976.48,12253.55,882.28,8314.99,3661.49,1675513.0,1302615.0,0.8035416666666667
2004,Odisha,Rice,18193.62,18239.68,544.47,12619.74,5573.88,4492000.0,6536000.0,1.4661627906976744
2004,Punjab,Rice,31770.38,31770.38,493.48,16763.94,15006.44,2800000.0,10437000.0,3.7888235294117645
2004,Tamil Nadu,Rice,30103.76,30264.3,676.89,21431.52,8672.24,1872822.0,5061622.0,3.0151724137931035
2004,Uttar Pradesh,Rice,19520.32,19802.02,636.88,12951.72,6568.6,5934405.0,10749989.0,1.8277142857142856
2004,Uttarakhand,Rice,18552.77,18552.77,562.52,13957.14,4595.63,288975.0,560243.0,1.7766666666666666
2004,West Bengal,Rice,24403.45,24585.23,640.74,17179.6,7223.85,5783613.0,14884889.0,2.4103703703703703
2004,Karnataka,Ragi,12108.169999999998,12315.98,798.8530000000001,9433.039999999999,2675.13,892841.0,1613873.0,1.496086956521739
2004,Tamil Nadu,Ragi,13341.499999999998,13341.05,855.118,8846.749999999998,4494.75,108845.0,154085.0,1.7423076923076921
2004,Gujarat,Sesamum,8932.97,8932.97,3184.676,6677.03,2255.9399999999996,368700.0,117100.0,0.3395238095238095
2004,Madhya Pradesh,Sesamum,7046.41,7244.43,2834.77,4536.89,2509.52,160464.0,65148.0,0.4666666666666666
2004,Odisha,Sesamum,6687.16,7025.09,3237.47,4292.0,2395.16,48711.0,10884.0,0.2265625
2004,Rajasthan,Sesamum,6814.38,6814.34,2529.25,4248.94,2565.44,446695.0,148692.0,0.330625
2004,Tamil Nadu,Sesamum,11543.17,11543.17,2641.46,7250.74,4292.43,72725.0,33840.0,0.39785714285714285
2004,Uttar Pradesh,Sesamum,5257.3,5473.59,1590.46,2836.58,2420.72,125522.0,20030.0,0.165625
2004,Chhattisgarh,Soyabean,12678.98,13123.24,1257.971,8964.38,3714.6,32336.0,30978.0,1.0135714285714286
2004,Madhya Pradesh,Soyabean,12005.42,12024.22,1187.59,7645.48,4359.94,4580458.0,3751395.0,0.821875
2004,Maharashtra,Soyabean,16447.79,16484.89,1417.7,12223.45,4224.34,2102200.0,1892400.0,1.2044827586206897
